category,market count,num_series,total_volume_fp,mean_volume_fp,std_volume_fp,min_volume_fp,max_volume_fp,total_volume_24h_fp,mean_volume_24h_fp,std_volume_24h_fp,min_volume_24h_fp,max_volume_24h_fp
Climate and Weather,19870,272,327588819.0,16486.603875188728,73287.10342237385,0.0,5376236.0,5944082.0,299.14856567689986,4819.164929321944,0.0,385700.0
Companies,1288,434,121485341.08,94320.91698757764,988690.919702111,0.0,32995226.0,336798.0,261.4891304347826,3366.154937204293,0.0,108923.0
Crypto,1840199,225,2765549270.28,1502.853370901734,22440.99515724904,0.0,10845291.0,90555692.44,49.20972810005874,2714.557070563418,0.0,690660.0
Economics,5179,513,264346344.87,51041.966570766555,742813.8285832203,0.0,30208677.0,9449820.0,1824.6418227457038,74618.60263349213,0.0,3798665.0
Elections,5642,1237,611921758.0,108458.30521091812,1779028.4750530142,0.0,115359676.0,5690048.0,1008.516129032258,17801.689256197864,0.0,1049681.0
Entertainment,21904,2338,752808090.28,34368.52128743608,488542.3134046602,0.0,24031102.0,3744351.35,170.94372489043099,9279.41659126355,0.0,1329767.0
Financials,392089,220,122479632.0,312.37711846034955,8393.030861012616,0.0,2969359.0,3906061.0,9.962179505163368,698.3317056310354,0.0,244837.0
Health,84,122,2415551.0,28756.559523809523,77783.4966908421,0.0,573031.0,148.0,1.7619047619047619,11.349453622663475,0.0,74.0
Mentions,20924,324,511970912.0,24468.118524182755,65106.34891580683,0.0,2100136.0,9039633.0,432.0222232842669,4396.109722774691,0.0,235764.0
Politics,3299,1840,379090780.0,114910.81539860564,1266789.7402899961,0.0,60576426.0,2508938.0,760.5147014246742,7537.305536313153,0.0,274096.0
Science and Technology,1802,252,86884836.11,48215.78030521642,377401.569002001,0.0,14088388.0,363935.07,201.96174805771366,2869.707922047309,0.0,113186.0
Social,110,79,375313.0,3411.9363636363637,13808.474112884036,0.0,115241.0,18.0,0.16363636363636364,1.7162326606420666,0.0,18.0
Sports,511936,1670,26214475461.0,51206.54820329104,522606.53165458277,0.0,158189302.0,617417309.0,1206.0439371327666,49271.84459168955,0.0,11070590.0
Transportation,1,3,75022.0,75022.0,,75022.0,75022.0,0.0,0.0,,0.0,0.0
World,40,151,452546.0,11313.65,21790.434826447156,0.0,90467.0,1699.0,42.475,268.6354872313038,0.0,1699.0
