can_close_early,close_time,created_time,early_close_condition,event_ticker,expected_expiration_time,expiration_time,expiration_value,floor_strike,fractional_trading_enabled,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,response_price_units,result,rules_primary,rules_secondary,settlement_timer_seconds,status,strike_type,tick_size,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title,cap_strike,settlement_ts,settlement_value_dollars,category,parent_series,LINK,main_title,contract_terms_url,contract_url
True,2026-04-10T06:59:00Z,2026-04-08T09:31:22.085606Z,"The Last Trading Time will be 11:59 PM ET on April 09, 2026 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for April 09, 2026, or one week after April 09, 2026.",KXHIGHDEN-26APR09,2026-04-10T14:00:00Z,2026-04-16T14:00:00Z,,76.0,False,0.13,2026-04-16T14:00:00Z,0,binary,0.93,0.87,77ֲ° or above,1,118,2026-04-08T14:00:00Z,0.0,0.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If the highest temperature recorded in Denver, CO for April 09, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 76ֲ°, then the market resolves to Yes.","Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",300,active,greater,1,KXHIGHDEN-26APR09-T76,"Will the **high temp in Denver** be >76ֲ° on Apr 9, 2026?",2026-04-08T14:00:01.011465Z,118,118,0.13,100,0.07,200,77ֲ° or above,,,,Climate and Weather,KXHIGHDEN,https://kalshi.com/markets/kxhighden/highest-temperature-in-denver/kxhighden-26apr09,Highest temperature in Denver,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DENHIGH.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DENHIGH.pdf
True,2026-04-10T06:59:00Z,2026-04-08T09:31:22.085606Z,"The Last Trading Time will be 11:59 PM ET on April 09, 2026 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for April 09, 2026, or one week after April 09, 2026.",KXHIGHDEN-26APR09,2026-04-10T14:00:00Z,2026-04-16T14:00:00Z,,,False,0.07,2026-04-16T14:00:00Z,0,binary,0.94,0.92,68ֲ° or below,1,97,2026-04-08T14:00:00Z,0.0,0.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If the highest temperature recorded in Denver, CO for April 09, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 69ֲ°, then the market resolves to Yes.","Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",300,active,less,1,KXHIGHDEN-26APR09-T69,"Will the **high temp in Denver** be <69ֲ° on Apr 9, 2026?",2026-04-08T14:00:00.97349Z,97,97,0.08,100,0.06,50,68ֲ° or below,69.0,,,Climate and Weather,KXHIGHDEN,https://kalshi.com/markets/kxhighden/highest-temperature-in-denver/kxhighden-26apr10,Highest temperature in Denver,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DENHIGH.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DENHIGH.pdf
True,2026-04-10T06:59:00Z,2026-04-08T09:31:22.085606Z,"The Last Trading Time will be 11:59 PM ET on April 09, 2026 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for April 09, 2026, or one week after April 09, 2026.",KXHIGHDEN-26APR09,2026-04-10T14:00:00Z,2026-04-16T14:00:00Z,,75.0,False,0.15,2026-04-16T14:00:00Z,0,binary,0.87,0.84,75ֲ° to 76ֲ°,1,93,2026-04-08T14:00:00Z,0.0,0.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If the highest temperature recorded in Denver, CO for April 09, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 75-76ֲ°, then the market resolves to Yes.","Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",300,active,between,1,KXHIGHDEN-26APR09-B75.5,"Will the **high temp in Denver** be 75-76ֲ° on Apr 9, 2026?",2026-04-08T14:00:01.203703Z,94,94,0.16,4,0.13,100,75ֲ° to 76ֲ°,76.0,,,Climate and Weather,KXHIGHDEN,https://kalshi.com/markets/kxhighden/highest-temperature-in-denver/kxhighden-26apr11,Highest temperature in Denver,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DENHIGH.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DENHIGH.pdf
True,2026-04-10T06:59:00Z,2026-04-08T09:31:22.085606Z,"The Last Trading Time will be 11:59 PM ET on April 09, 2026 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for April 09, 2026, or one week after April 09, 2026.",KXHIGHDEN-26APR09,2026-04-10T14:00:00Z,2026-04-16T14:00:00Z,,73.0,False,0.29,2026-04-16T14:00:00Z,0,binary,0.72,0.71,73ֲ° to 74ֲ°,1,220,2026-04-08T14:00:00Z,0.0,0.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If the highest temperature recorded in Denver, CO for April 09, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 73-74ֲ°, then the market resolves to Yes.","Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",300,active,between,1,KXHIGHDEN-26APR09-B73.5,"Will the **high temp in Denver** be 73-74ֲ° on Apr 9, 2026?",2026-04-08T14:00:00.97349Z,246,246,0.29,16,0.28,8,73ֲ° to 74ֲ°,74.0,,,Climate and Weather,KXHIGHDEN,https://kalshi.com/markets/kxhighden/highest-temperature-in-denver/kxhighden-26apr12,Highest temperature in Denver,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DENHIGH.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DENHIGH.pdf
True,2026-04-10T06:59:00Z,2026-04-08T09:31:22.085606Z,"The Last Trading Time will be 11:59 PM ET on April 09, 2026 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for April 09, 2026, or one week after April 09, 2026.",KXHIGHDEN-26APR09,2026-04-10T14:00:00Z,2026-04-16T14:00:00Z,,71.0,False,0.25,2026-04-16T14:00:00Z,0,binary,0.76,0.75,71ֲ° to 72ֲ°,1,85,2026-04-08T14:00:00Z,0.0,0.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If the highest temperature recorded in Denver, CO for April 09, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 71-72ֲ°, then the market resolves to Yes.","Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",300,active,between,1,KXHIGHDEN-26APR09-B71.5,"Will the **high temp in Denver** be 71-72ֲ° on Apr 9, 2026?",2026-04-08T14:00:00.97349Z,86,86,0.25,16,0.24,101,71ֲ° to 72ֲ°,72.0,,,Climate and Weather,KXHIGHDEN,https://kalshi.com/markets/kxhighden/highest-temperature-in-denver/kxhighden-26apr13,Highest temperature in Denver,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DENHIGH.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DENHIGH.pdf
True,2026-04-10T06:59:00Z,2026-04-08T09:31:22.085606Z,"The Last Trading Time will be 11:59 PM ET on April 09, 2026 regardless of any data releases or events occurring. Expiration will occur on the sooner of the first 7:00 or 8:00
AM ET following the release of the data for April 09, 2026, or one week after April 09, 2026.",KXHIGHDEN-26APR09,2026-04-10T14:00:00Z,2026-04-16T14:00:00Z,,69.0,False,0.17,2026-04-16T14:00:00Z,0,binary,0.89,0.82,69ֲ° to 70ֲ°,1,73,2026-04-08T14:00:00Z,0.0,0.0,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If the highest temperature recorded in Denver, CO for April 09, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 69-70ֲ°, then the market resolves to Yes.","Not all weather data is the same. While checking a source like AccuWeather or Google Weather may help guide your decision, the official and final value used to determine this market is the highest temperature as reported by the corresponding NWS Climatological Report (Daily) linked in the rules above. Preliminary NWS reporting and measurement methods may be subject to underlying rounding and conversion nuances. Traders should exercise caution when interpreting preliminary NWS data.",300,active,between,1,KXHIGHDEN-26APR09-B69.5,"Will the **high temp in Denver** be 69-70ֲ° on Apr 9, 2026?",2026-04-08T14:00:00.97349Z,75,75,0.18,100,0.11,250,69ֲ° to 70ֲ°,70.0,,,Climate and Weather,KXHIGHDEN,https://kalshi.com/markets/kxhighden/highest-temperature-in-denver/kxhighden-26apr14,Highest temperature in Denver,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DENHIGH.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DENHIGH.pdf
True,2027-01-01T15:00:00Z,2025-10-09T18:41:45.136062Z,This market will close and expire early if the event occurs.,KXNEWROLECEOAPPLE-27JAN,2027-01-01T15:00:00Z,2027-01-01T15:00:00Z,,,False,0.08,2027-01-01T15:00:00Z,0,binary,1.0,0.92,Jeff Williams,1,276,2025-10-10T14:00:00Z,0.08,0.08,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Jeff Williams is confirmed as CEO for Apple Inc. before Jan 1, 2027, then the market resolves to Yes.",,1800,active,,1,KXNEWROLECEOAPPLE-27JAN-WILL,Who will be the next CEO of Apple Inc.?,2026-02-19T08:48:16.628714Z,0,454,0.08,500,0.0,0,Jeff Williams,,,,Companies,KXNEWROLECEOAPPLE,https://kalshi.com/markets/kxnewroleceoapple/next-apple-ceo/kxnewroleceoapple-27jan,Next Apple CEO,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NEWROLE.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NEWROLE.pdf
True,2027-01-01T15:00:00Z,2025-10-09T18:41:45.136062Z,This market will close and expire early if the event occurs.,KXNEWROLECEOAPPLE-27JAN,2027-01-01T15:00:00Z,2027-01-01T15:00:00Z,,,False,0.39,2027-01-01T15:00:00Z,0,binary,0.61,0.6,John Ternus,1,17783,2025-10-10T14:00:00Z,0.39,0.4,0.39,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If John Ternus is confirmed as CEO for Apple Inc. before Jan 1, 2027, then the market resolves to Yes.",,1800,active,,1,KXNEWROLECEOAPPLE-27JAN-TERN,Who will be the next CEO of Apple Inc.?,2026-02-19T08:48:16.628714Z,6,36739,0.4,20,0.39,30,John Ternus,,,,Companies,KXNEWROLECEOAPPLE,https://kalshi.com/markets/kxnewroleceoapple/next-apple-ceo/kxnewroleceoapple-27jan,Next Apple CEO,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NEWROLE.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NEWROLE.pdf
True,2027-01-01T15:00:00Z,2025-10-09T18:41:45.136062Z,This market will close and expire early if the event occurs.,KXNEWROLECEOAPPLE-27JAN,2027-01-01T15:00:00Z,2027-01-01T15:00:00Z,,,False,0.15,2027-01-01T15:00:00Z,0,binary,0.94,0.86,Sri Santhanam,1,513,2025-10-10T14:00:00Z,0.15,0.14,0.06,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If Sri Santhanam is confirmed as CEO for Apple Inc. before Jan 1, 2027, then the market resolves to Yes.",,1800,active,,1,KXNEWROLECEOAPPLE-27JAN-SANT,Who will be the next CEO of Apple Inc.?,2026-02-19T08:48:16.628714Z,0,1305,0.14,5,0.06,5,Sri Santhanam,,,,Companies,KXNEWROLECEOAPPLE,https://kalshi.com/markets/kxnewroleceoapple/next-apple-ceo/kxnewroleceoapple-27jan,Next Apple CEO,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NEWROLE.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NEWROLE.pdf
True,2027-01-01T15:00:00Z,2025-10-09T18:41:45.136062Z,This market will close and expire early if the event occurs.,KXNEWROLECEOAPPLE-27JAN,2027-01-01T15:00:00Z,2027-01-01T15:00:00Z,,,False,0.06,2027-01-01T15:00:00Z,0,binary,1.0,0.93,John Giannandrea,1,118,2025-10-10T14:00:00Z,0.06,0.07,0.0,linear_cent,"[{'end': '1.0000', 'start': '0.0000', 'step': '0.0100'}]",usd_cent,,"If John Giannandrea is confirmed as CEO for Apple Inc. before Jan 1, 2027, then the market resolves to Yes.",,1800,active,,1,KXNEWROLECEOAPPLE-27JAN-GIAN,Who will be the next CEO of Apple Inc.?,2026-02-19T08:48:16.628714Z,0,118,0.07,500,0.0,0,John Giannandrea,,,,Companies,KXNEWROLECEOAPPLE,https://kalshi.com/markets/kxnewroleceoapple/next-apple-ceo/kxnewroleceoapple-27jan,Next Apple CEO,https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NEWROLE.pdf,https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NEWROLE.pdf
